,name,text
10,Deep Blue 3.0 Light - JAM54S31 - 380 - 405 Watt (400W),"name:Deep Blue 3.0 Light - JAM54S31 - 380 - 405 Watt (400W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:108;wattage:400.0;height:30mm;weight:21.5;application:Residential;product url:[Deep Blue 3.0 Light - JAM54S31 - 380 - 405 Watt (400W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-deep-blue-3-0-light-jam54s31-380-405-watt-400w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/6d9f9926-31e1-43a3-8924-77b5bcef22de/Deep%20Blue%203.0%20Light%20-%20JAM54S31%20-%20380%20-%20405%20Watt%20%28400W%29_img.jpg']"
11,LR6-72HPH - 365-385 Watt (385W),"name:LR6-72HPH - 365-385 Watt (385W);Manufacturer(brand):LONGi;cell type:nan;number of cells:144;wattage:385.0;height:35mm;weight:23;application:Residential;product url:[LR6-72HPH - 365-385 Watt (385W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-lr6-72hph-365-385-watt-385w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/29785b89-835e-45f9-8599-de24927503a2/LR6-72HPH%20-%20365-385%20Watt%20%28385W%29_img.jpeg']"
12,Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (475W),"name:Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (475W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:156;wattage:475.0;height:35mm;weight:11.34;application:Commercial;product url:[Tiger 78TR. 470-490 Watt. Mono-Facial Module.  (475W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-78tr-470-490-watt-mono-facial-module-475w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4f75135f-75dc-4ef3-96d1-05d2ba0e2b4f/Tiger%2078TR.%20470-490%20Watt.%20Mono-Facial%20Module.%20%20%28475W%29_img.jpg']"
13,Ultra V Pro Plus Half-cell N-Type TOPCon Bifacial Module - 610 - 630 Watt (625W),"name:Ultra V Pro Plus Half-cell N-Type TOPCon Bifacial Module - 610 - 630 Watt (625W);Manufacturer(brand):Suntech Power;cell type:Monocrystalline;number of cells:156;wattage:625.0;height:35mm;weight:35.1;application:Commercial;product url:[Ultra V Pro Plus Half-cell N-Type TOPCon Bifacial Module - 610 - 630 Watt (625W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-ultra-v-pro-plus-half-cell-n-type-topcon-bifacial-module-610-630-watt-625w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/8423fd9d-ec95-4305-96f1-747b08a109f3/Ultra%20V%20Pro%20Plus%20Half-cell%20N-Type%20TOPCon%20Bifacial%20Module%20-%20610%20-%20630%20Watt%20%28625W%29_img.jpg']"
14,Mono 340W MBB Half-Cell Module - 320 - 340 Watt (335W),"name:Mono 340W MBB Half-Cell Module - 320 - 340 Watt (335W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:120;wattage:335.0;height:35mm;weight:18.7;application:Residential;product url:[Mono 340W MBB Half-Cell Module - 320 - 340 Watt (335W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-mono-340w-mbb-half-cell-module-320-340-watt-335w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/49462e8f-1033-46e3-9558-d78ce8a1fbe2/Mono%20340W%20MBB%20Half-Cell%20Module%20-%20320%20-%20340%20Watt%20%28335W%29_img.jpg']"
15,DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (530W),"name:DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (530W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:144;wattage:530.0;height:35mm;weight:28.1;application:Commercial;product url:[DEEP BLUE 3.0 - JAM72S30 - 530 - 555 Watt (530W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-deep-blue-3-0-jam72s30-530-555-watt-530w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/7caa73b0-e9f1-406b-b5bb-71727b18b6a6/DEEP%20BLUE%203.0%20-%20JAM72S30%20-%20530%20-%20555%20Watt%20%28530W%29_img.jpg']"
16,Mono 465W MBB Bifacial Monocrystalline PERC - 440 - 465 Watt (455W),"name:Mono 465W MBB Bifacial Monocrystalline PERC - 440 - 465 Watt (455W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:144;wattage:455.0;height:35mm;weight:27.3;application:Commercial;product url:[Mono 465W MBB Bifacial Monocrystalline PERC - 440 - 465 Watt (455W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-mono-465w-mbb-bifacial-monocrystalline-perc-440-465-watt-455w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/caf17973-253d-4a06-986d-eca7633d27de/Mono%20465W%20MBB%20Bifacial%20Monocrystalline%20PERC%20-%20440%20-%20465%20Watt%20%28455W%29_img.jpg']"
17,HiKu7. 580 - 610 Watt. Monocrystalline PERC. R Series (595W),"name:HiKu7. 580 - 610 Watt. Monocrystalline PERC. R Series (595W);Manufacturer(brand):Canadian Solar;cell type:Monocrystalline;number of cells:120;wattage:595.0;height:35mm;weight:14.06;application:Commercial;product url:[HiKu7. 580 - 610 Watt. Monocrystalline PERC. R Series (595W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-hiku7-580-610-watt-monocrystalline-perc-r-series-595w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/ba11bdf7-c8af-4210-b08c-43beedc54163/HiKu7.%20580%20-%20610%20Watt.%20Monocrystalline%20PERC.%20R%20Series%20%28595W%29_img.jpg']"
18,RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W) BMDG,"name:RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W) BMDG;Manufacturer(brand):Risen Energy;cell type:Monocrystalline;number of cells:132;wattage:660.0;height:35mm;weight:38.5;application:Commercial;product url:[RSM132-8-645BMDG-665BMDG - 645 - 665 Watt (660W) BMDG](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-rsm132-8-645bmdg-665bmdg-645-665-watt-660w-bmdg"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/1298817e-5735-4336-b587-2a5635d58ac0/RSM132-8-645BMDG-665BMDG%20-%20645%20-%20665%20Watt%20%28660W%29%20BMDG_img.jpeg']"
19,Hi-MO 5 - 400 - 420 Watt (405W),"name:Hi-MO 5 - 400 - 420 Watt (405W);Manufacturer(brand):LONGi;cell type:nan;number of cells:108;wattage:405.0;height:30mm;weight:20.8;application:Residential;product url:[Hi-MO 5 - 400 - 420 Watt (405W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-hi-mo-5-400-420-watt-405w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/7f489d12-2294-4998-8fdf-80dd44fd091e/Hi-MO%205%20-%20400%20-%20420%20Watt%20%28405W%29_img.jpg']"
20,Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (390W),"name:Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (390W);Manufacturer(brand):Suntech Power;cell type:Monocrystalline;number of cells:108;wattage:390.0;height:30mm;weight:21;application:Residential;product url:[Ultra V Mini Half-cell Monofacial Module - 390 - 410 Watt (390W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-ultra-v-mini-half-cell-monofacial-module-390-410-watt-390w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4cd1e89b-6eb3-483a-a1cd-c9a763733030/Ultra%20V%20Mini%20Half-cell%20Monofacial%20Module%20-%20390%20-%20410%20Watt%20%28390W%29_img.jpg']"
21,PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (365W),"name:PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (365W);Manufacturer(brand):REC Solar;cell type:Half-Cell;number of cells:120;wattage:365.0;height:30mm;weight:20;application:Residential;product url:[PREMIUM FULL BLACK MONO N-TYPE SOLAR PANELS > 350-370 Watt (365W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-premium-full-black-mono-n-type-solar-panels-350-370-watt-365w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/266c0705-9e2d-45cc-8d06-b9fa5b030ed6/PREMIUM%20FULL%20BLACK%20MONO%20N-TYPE%20SOLAR%20PANELS%20%3E%20350-370%20Watt%20%28365W%29_img.jpg']"
22,DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (400W),"name:DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (400W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:108;wattage:400.0;height:30mm;weight:21.5;application:Residential;product url:[DEEP BLUE 3.0 - JAM54S30  - 395 - 420 Watt (400W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-deep-blue-3-0-jam54s30-395-420-watt-400w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/02189f0f-b20c-4b0e-b03e-c498b9406fa3/DEEP%20BLUE%203.0%20-%20JAM54S30%20%20-%20395%20-%20420%20Watt%20%28400W%29_img.jpg']"
23,LG NeON 2 Black 60 Cell - Monocrystalline - 320 - 350 (340W),"name:LG NeON 2 Black 60 Cell - Monocrystalline - 320 - 350 (340W);Manufacturer(brand):LG Solar;cell type:Monocrystalline;number of cells:60;wattage:340.0;height:40mm;weight:17.1;application:Residential;product url:[LG NeON 2 Black 60 Cell - Monocrystalline - 320 - 350 (340W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-lg-neon-2-black-60-cell-monocrystalline-320-350-340w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/dbd7a274-a3ba-4dc3-8708-3f74505892ef/LG%20NeON%202%20Black%2060%20Cell%20-%20Monocrystalline%20-%20320%20-%20350%20%28340W%29_img.jpeg']"
24,Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (400W),"name:Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (400W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:400.0;height:30mm;weight:21.5;application:Residential;product url:[Monocrystalline PV Module - Astro 5s - 390 - 405 Watt (400W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-monocrystalline-pv-module-astro-5s-390-405-watt-400w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/001ad8c7-d52d-4be5-ab8c-27d344220657/Monocrystalline%20PV%20Module%20-%20Astro%205s%20-%20390%20-%20405%20Watt%20%28400W%29_img.jpg']"
25,Ultra X plus Half-cell Bifacial Module - 650 - 670 Watt (655W),"name:Ultra X plus Half-cell Bifacial Module - 650 - 670 Watt (655W);Manufacturer(brand):Suntech Power;cell type:Monocrystalline;number of cells:132;wattage:655.0;height:35mm;weight:39.9;application:Commercial;product url:[Ultra X plus Half-cell Bifacial Module - 650 - 670 Watt (655W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-ultra-x-plus-half-cell-bifacial-module-650-670-watt-655w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/0ada5fbc-9b22-4756-9a96-1a8f8b9ebfa5/Ultra%20X%20plus%20Half-cell%20Bifacial%20Module%20-%20650%20-%20670%20Watt%20%28655W%29_img.jpg']"
26,Mono 470W MBB Half-Cell Module - 445 - 470 Watt (465W),"name:Mono 470W MBB Half-Cell Module - 445 - 470 Watt (465W);Manufacturer(brand):JA Solar;cell type:Monocrystalline;number of cells:144;wattage:465.0;height:35mm;weight:24.5;application:Commercial;product url:[Mono 470W MBB Half-Cell Module - 445 - 470 Watt (465W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-mono-470w-mbb-half-cell-module-445-470-watt-465w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/3b20f626-2a8f-4ca6-8aa9-2b8d3ef27b09/Mono%20470W%20MBB%20Half-Cell%20Module%20-%20445%20-%20470%20Watt%20%28465W%29_img.jpg']"
27,Tiger Pro 72HC. 540-560 Watt. Mono-Facial Module. (560W),"name:Tiger Pro 72HC. 540-560 Watt. Mono-Facial Module. (560W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline;number of cells:144;wattage:560.0;height:30mm;weight:12.7;application:Commercial;product url:[Tiger Pro 72HC. 540-560 Watt. Mono-Facial Module. (560W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-tiger-pro-72hc-540-560-watt-mono-facial-module-560w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/3e91240b-1add-44e2-bc55-1d18dfd1a535/Tiger%20Pro%2072HC.%20540-560%20Watt.%20Mono-Facial%20Module.%20%28560W%29_img.jpg']"
28,Cheetah HC 60M. 325-345 Watt. Monocrystalline PERC Half Cell Model (345W),"name:Cheetah HC 60M. 325-345 Watt. Monocrystalline PERC Half Cell Model (345W);Manufacturer(brand):Jinko Solar;cell type:Monocrystalline PERC;number of cells:120;wattage:345.0;height:30mm;weight:8.39;application:Residential;product url:[Cheetah HC 60M. 325-345 Watt. Monocrystalline PERC Half Cell Model (345W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-cheetah-hc-60m-325-345-watt-monocrystalline-perc-half-cell-model-345w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/ea4ae4fd-9048-44f3-9507-d480c6f193d1/Cheetah%20HC%2060M.%20325-345%20Watt.%20Monocrystalline%20PERC%20Half%20Cell%20Model%20%28345W%29_img.jpeg']"
29,Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (270W),"name:Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (270W);Manufacturer(brand):Astronergy;cell type:Monocrystalline;number of cells:nan;wattage:270.0;height:35mm;weight:18.4;application:Residential;product url:[Polycrystalline PV Module - PENTA Classic - 265 - 280 Watt (270W)](""https://inxeptionmarketplace-crate.inxeption.com/purl/inxeptionenergymarketplace-polycrystalline-pv-module-penta-classic-265-280-watt-270w-"");image url:['https://s3.amazonaws.com/prisma-oce.inxeption.io/ledger207/4a6f591f-8965-4b06-a940-b01121075d31/Polycrystalline%20PV%20Module%20-%20PENTA%20Classic%20-%20265%20-%20280%20Watt%20%28270W%29_img.jpg']"
